locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv1328,glgP,8429428,13,3
Rv3718c,,8348643,12,3
Rv0635,hadA,14172737,12,2
Rv0384c,clpB,8202773,12,4
Rv1098c,fum,8199093,12,6
Rv0632c,echA3,8165955,12,3
Rv1480,,8020184,12,3
Rv2882c,frr,8010504,12,3
Rv2204c,,7996263,12,3
Rv0925c,,7995267,12,3
Rv0637,hadC,7962883,12,3
Rv1078,pra,7924040,12,3
Rv0667,rpoB,7875830,12,7
Rv3264c,manB,7882020,12,3
Rv1860,apa,7855517,12,3
Rv0227c,,7839669,12,3
Rv3280,accD5,7755179,12,4
Rv2055c,rpsR2,7735328,12,3
Rv2145c,wag31,7662694,11,3
Rv3747,,7645109,11,2
Rv3519,,7634285,11,2
Rv0439c,,7616405,11,3
Rv0146,,7568618,11,4
Rv3678c,,7505201,11,3
Rv3205c,,7431491,11,3
Rv3528c,,7412592,11,3
Rv1093,glyA1,7406090,11,5
Rv0788,purQ,7230429,11,2
Rv0854,,7228543,11,3
Rv2949c,,7150258,11,3
Rv2909c,rpsP,7148335,11,2
Rv1297,rho,7111467,11,2
Rv1630,rpsA,16171452,11,3
Rv0684,fusA1,7096941,11,3
Rv1543,,7079014,11,3
Rv3720,,7066830,11,6
Rv2606c,snzP,7060961,11,3
Rv3596c,clpC1,7042106,11,3
Rv2129c,,8269965,11,5
Rv0469,umaA,6935775,10,3
Rv1311,atpC,6886937,10,2
Rv0066c,icd2,6885369,10,3
Rv0824c,desA1,6870453,10,2
Rv2477c,,6858217,10,6
Rv2703,sigA,6823880,10,2
Rv3224,,6807976,10,3
Rv2195,qcrA,6800193,10,3
Rv0831c,,6783529,10,2
Rv0718,rpsH,6736569,10,3
Rv0668,rpoC,6720973,10,3
Rv3462c,infA,6686494,10,2
Rv0757,phoP,6612670,10,3
Rv3269,,6607157,10,3
Rv2110c,prcB,6589128,10,3
Rv2509,,6534024,10,3
Rv3196A,,6521872,10,3
Rv1626,,6486099,10,5
Rv0006,gyrA,6425952,10,4
Rv2773c,dapB,6396860,10,3
Rv2429,ahpD,6341520,10,3
Rv2161c,,6237983,9,4
Rv0018c,pstP,6178668,9,4
Rv1731,gabD2,6102636,9,3
Rv2603c,,6069768,9,3
Rv3816c,,6068903,9,3
Rv0675,echA5,6060201,9,3
Rv0002,dnaN,6051671,9,3
Rv1613,trpA,6042915,9,3
Rv3200c,,6027745,9,4
Rv0315,,6014713,9,2
Rv2302,,6014016,9,2
Rv0707,rpsC,5927696,9,3
Rv1747,,5880073,9,5
Rv0241c,htdX,5853634,9,3
Rv0654,,5814858,9,6
Rv0503c,cmaA2,5808455,9,3
Rv0787A,,5689146,9,3
Rv1593c,,5642037,9,5
Rv2993c,,5624118,8,3
Rv0044c,,5806498,8,3
Rv1855c,,5595525,8,3
